iter	Passed	Remaining
947	4661	255
948	4665	250
949	4669	245
950	4673	240
951	4678	235
952	4684	231
953	4688	226
954	4693	221
955	4699	216
956	4706	211
957	4712	206
958	4718	201
959	4724	196
960	4729	191
961	4733	186
962	4738	182
963	4743	177
964	4747	172
965	4752	167
966	4757	162
967	4761	157
968	4765	152
969	4770	147
970	4778	142
971	4783	137
972	4787	132
973	4792	127
974	4797	123
975	4802	118
976	4806	113
977	4810	108
978	4814	103
979	4818	98
980	4822	93
981	4826	88
982	4831	83
983	4835	78
984	4839	73
985	4844	68
986	4848	63
987	4852	58
988	4856	54
989	4860	49
990	4865	44
991	4869	39
992	4874	34
993	4878	29
994	4883	24
995	4887	19
996	4892	14
997	4897	9
998	4902	4
999	4906	0
